Plan Name,Plan Code,Region,Coverage Amount,Coverage Period,Terms,SKU,Administrator,Underwriter,Support,Coverage Type,Coverage Cost Type,Coverage Type Amount,Channel
Lifetime Product Replacement,,United States,USD 0.00,Lifetime,Terms_and_Condition.pdf,,InstaProtek,InstaProtek,InstaProtek (Warranty),Product Replacement,Deductible,USD 0.00,
Lifetime Warranty Replacement,,United States,USD 0.00,Lifetime,Terms and Conditions_ProductWarranty.pdf,,InstaProtek,InstaProtek,InstaProtek (Warranty),Product Replacement,Shipping & Handling,USD 0.00,
Lifetime Warranty Replacement,,United States,USD 0.00,Lifetime,Limited Lifetime Replacement.pdf,,InstaProtek,InstaProtek,InstaProtek (Warranty),Product Replacement,Shipping & Handling,USD 19.99,Online
Lifetime Warranty Replacement,,Puerto Rico,USD 0.00,Lifetime,Terms_and_Condition.pdf,,InstaProtek,InstaProtek,InstaProtek (Warranty),Product Replacement,Shipping & Handling,USD 18.99,
Mobilio,,United States,USD 0.00,,InstaProtekTerms.pdf,MO0000US,Liquipel,Mobilio,InstaProtek,Used Phone Protection,,USD 0.00,
Product Replacement,,United States,USD 0.00,,InstaProtekTerms.pdf,,InstaProtek,InstaProtek,InstaProtek,Product Replacement,,USD 0.00,
Screen + Camera Lens Repair Guarantee  & Lifetime Warranty Replacement,,United States,USD 200.00,Lifetime,LIMITED PRODUCT GUARANTEE.pdf,,InstaProtek,InstaProtek,InstaProtek(Guarantee),Repair Or Replacement,Deductible,USD 200.00,Retail
Screen Protection $0,,United States,USD 0.00,1,Terms and Conditions_ScreenProtection.pdf,,InstaProtek,STARR Companies,InstaProtek(Guarantee),Screen Protection,Deductible,USD 0.00,
Screen Protection (Canada) 100,,Canada,CAD 100.00,1,Terms and Conditions_ScreenProtection.pdf,A0100CANCAD,InstaProtek,InstaProtek,InstaProtek Canada,Screen Protection,Deductible,CAD 100,
Screen Protection 100,,United States,USD 100.00,1,Terms and Conditions_ScreenProtection.pdf,A100US,After Inc.,STARR Companies,InstaProtek,Screen Protection Guarantee,Deductible,USD 100,
Screen Protection 125,,United States,USD 125.00,1,Terms and Conditions_ScreenProtection.pdf,A125US,After Inc.,STARR Companies,InstaProtek,Screen Protection Guarantee,Deductible,USD 125,
Screen Protection 125 CAD,,Canada,CAD 125.00,,InstaProtekTerms.pdf,A125CAD,After Inc.,STARR Companies,InstaProtek (Canada),Screen Protection,,CAD 0.00,
Screen Protection 150,,United States,USD 150.00,1,Terms and Conditions_ScreenProtection.pdf,A150US,After Inc.,STARR Companies,InstaProtek,Screen Protection Guarantee,Deductible,USD 150,
Screen Protection 200,,United States,USD 200.00,1,Terms and Conditions_ScreenProtection.pdf,A200US,After Inc.,STARR Companies,InstaProtek(Guarantee),Screen Protection Guarantee,Deductible,USD 200,
Screen Protection 200 CAD,,Canada,CAD 200.00,1,Terms and Conditions_ScreenProtection.pdf,Z200CAD,InstaProtek,InstaProtek,InstaProtek (Canada),Screen Protection,Deductible,CAD 200,
Screen Protection 250,,United States,USD 250.00,1,Terms and Conditions_ScreenProtection.pdf,A250US,After Inc.,STARR Companies,InstaProtek,Screen Protection Guarantee,Deductible,USD 250,
Screen Protection 300,,United States,USD 300.00,1,Terms and Conditions_ScreenProtection.pdf,A300US,After Inc.,InstaProtek,InstaProtek,Screen Protection Guarantee,Deductible,USD 300,
Screen Protection 300 CAD,,Canada,CAD 0.00,1,Terms and Conditions_ScreenProtection.pdf,CAD300,After Inc.,STARR Companies,InstaProtek Canada,Screen Protection,Deductible,CAD 300,
Screen Protection 300 CAD,,Canada,CAD 300.00,1,Terms.pdf,A300CAD,After Inc.,STARR Companies,InstaProtek (Canada),Screen Protection,Deductible,CAD 300,
Screen Protection 50,,United States,USD 50.00,1,Terms and Conditions_ScreenProtection.pdf,A0050US,InstaProtek,InstaProtek,InstaProtek,Screen Protection Guarantee,Deductible,USD 50,
Screen Protection and Lifetime Product Replacement,,United States,USD 200.00,1,Terms_and_Conditions.pdf,,InstaProtek,InstaProtek,InstaProtek_Guarantee(30 days),Screen Protection,Deductible,USD 200.00,
Screen Protection and Lifetime Product Replacement,,United States,USD 100.00,1,Terms & Condition.pdf,,InstaProtek,InstaProtek,InstaProtek_Guarantee(30 days),Screen Protection,Deductible,USD 100.00,Online
TEST PLAN,,United States,USD 1.00,1,1715725468070.pdf,,After Inc.,InstaProtek,InstaProtek(Guarantee),Screen Protection,Deductible,USD 0.00,Call Center
Test Product Replacement,,United States,USD 0.00,1,terms and condition (2).pdf,,InstaProtek,InstaProtek,InstaProtek(Guarantee),Product Replacement,Shipping & Handling,USD 0.00,Call Center
